Frontier Restaurant- Albuquerque, New Mexico
Casey's Buffet & BBQ- Wilmington, North Carolina
Cantina Laredo- Houston, Texas
Boston Chops- Boston, Massachusetts
Patsy's Pizza- New York City, New York
Ralphie's Bar And Grille- Newton, Philadelphia
Minnie's Montana Café- Thompson Falls, Montana
Café Coco – San Francisco, CA
Chez Panisse – Berkeley, CA
Corner Bakery & Café – Minneapolis, MN
Del Frisco's Grille – Dallas, TX
The Fat Lady Bar And Restaurant – Oakland, CA
