Screen Door- Portland, Oregon
Hash House A Go-Go- Las Vegas, Nevada
Kendall's Restaurant- Noble, Oklahoma
Petey's Summertime Seafood And Bar- Rye, New Hampshire
Spaghetti Works- Des Moines, Iowa
PorkyLand- San Diego, California
The Improper Pig- Charlotte, North Carolina
Schoolhouse Restaurant – Camp Dennison, Ohio
Taste Of India- Seattle, Washington
Hobby's Delicatessen- Newark, New Jersey
Honey Honey Café & Crêpery - San Francisco, California
Kroll's Diner- Fargo, North Dakota
